model,task,from_lang,to_lang,success,valid
deepseekcoder7b,bit_ops,py,c,1.0,1.0
qwen2.5coder2b,file_exists,cpp,java,1.0,0.0
magicoder7b,file_size,java,rs,1.0,0.0
magicoder7b,int_factors,c,cpp,1.0,0.0
codegemma7b,dir_make,cpp,c,1.0,1.0
yicoder2b,bit_ops,js,rs,1.0,0.0
granitecode3b,str_match,cpp,c,1.0,0.0
stablecode,file_size,c,rs,1.0,0.0
yicoder9b,bit_ops,py,go,1.0,0.0
yicoder2b,int_arith,go,rs,1.0,0.0
codellama7b,logic_ops,java,c,1.0,0.0
granitecode3b,str_concat,c,cpp,1.0,1.0
codegemma7b,logic_ops,cpp,rs,1.0,0.0
yicoder9b,str_match,java,rs,1.0,0.0
granitecode3b,int_factors,java,cpp,1.0,0.0
codegeex4,file_create,java,c,1.0,1.0
deepseekcoder7b,str_interp,py,cpp,1.0,1.0
qwen2.5coder7b,file_rename,java,cpp,1.0,0.0
codegemma7b,int_factors,js,c,1.0,1.0
granitecode3b,int_cmp,py,cpp,1.0,0.0
granitecode8b,file_create,py,cpp,1.0,0.0
magicoder7b,file_create,java,cpp,1.0,1.0
dolphincoder7b,int_arith,js,rs,1.0,0.0
codeqwen,int_factors,go,cpp,1.0,0.0
granitecode8b,file_size,go,c,1.0,0.0
qwen2.5coder7b,file_rename,java,go,1.0,0.0
qwen2.5coder2b,file_exists,cpp,c,1.0,0.0
deepseekcoder7b,int_cmp,c,java,1.0,1.0
stablecode,file_create,rs,go,1.0,0.0
yicoder2b,int_arith,rs,java,1.0,0.0
yicoder2b,int_cmp,rs,java,1.0,0.0
granitecode3b,int_cmp,java,cpp,1.0,0.0
codegemma7b,str_substring,java,rs,1.0,0.0
magicoder7b,str_append,rs,c,1.0,1.0
stablecode,logic_ops,c,go,1.0,0.0
granitecode8b,file_exists,go,cpp,1.0,0.0
yicoder9b,logic_ops,py,cpp,1.0,1.0
codegeex4,dir_make,java,c,1.0,0.0
qwen2.5coder2b,bit_ops,py,c,1.0,0.0
granitecode8b,int_factors,go,rs,1.0,0.0
qwen2.5coder7b,int_cmp,py,rs,1.0,0.0
