model,task,from_lang,to_lang,run
codeqwen,int_arith,py,cpp,1.0
dolphincoder7b,int_arith,rs,cpp,0.0
deepseekcoder7b,int_arith,py,cpp,1.0
yicoder2b,int_arith,cpp,js,0.0
qwen2.5coder7b,int_arith,js,rs,1.0
deepseekcoderv2,int_arith,js,go,1.0
dolphincoder7b,int_arith,go,java,0.0
granitecode3b,int_arith,py,go,1.0
magicoder7b,int_arith,cpp,go,1.0
qwen2.5coder7b,int_arith,cpp,rs,1.0
codellama7b,int_arith,js,c,1.0
qwen2.5coder2b,int_arith,py,cpp,1.0
deepseekcoder7b,int_arith,c,cpp,1.0
codeqwen,int_arith,py,c,1.0
codegemma7b,int_arith,js,c,1.0
qwen2.5coder2b,int_arith,go,c,1.0
granitecode3b,int_arith,cpp,go,0.0
codellama7b,int_arith,rs,go,0.0
codeqwen,int_arith,java,rs,1.0
stablecode,int_arith,go,c,1.0
yicoder9b,int_arith,java,rs,1.0
magicoder7b,int_arith,cpp,c,1.0
qwen2.5coder2b,int_arith,py,c,1.0
qwen2.5coder7b,int_arith,go,rs,0.0
deepseekcoder7b,int_arith,rs,java,1.0
codegeex4,int_arith,java,go,1.0
granitecode3b,int_arith,java,go,1.0
dolphincoder7b,int_arith,go,py,1.0
dolphincoder7b,int_arith,rs,java,1.0
qwen2.5coder7b,int_arith,java,rs,1.0
stablecode,int_arith,py,js,0.0
codeqwen,int_arith,c,go,1.0
granitecode8b,int_arith,py,go,1.0
granitecode8b,int_arith,rs,go,0.0
granitecode8b,int_arith,py,cpp,1.0
granitecode8b,int_arith,js,go,0.0
qwen2.5coder7b,int_arith,py,c,1.0
granitecode8b,int_arith,py,java,1.0
qwen2.5coder2b,int_arith,java,cpp,1.0
codegeex4,int_arith,rs,c,1.0
magicoder7b,int_arith,py,rs,1.0
codellama7b,int_arith,js,go,1.0
qwen2.5coder2b,int_arith,c,rs,0.0
qwen2.5coder7b,int_arith,py,go,1.0
magicoder7b,int_arith,py,cpp,1.0
qwen2.5coder2b,int_arith,rs,go,1.0
codeqwen,int_arith,js,go,1.0
magicoder7b,int_arith,c,go,1.0
deepseekcoder7b,int_arith,java,go,1.0
